Context,Term,Definition,Flip
Next Ramp,NB I5 TO/LOMBARD WB,NB I5 TO/COMLUMBIA,0
Next Ramp,NB I5 TO/COMLUMBIA,NB I5 TO/VICTORY,0
Next Ramp,NB I5 TO/VICTORY,NB I5 TO/ MARINE DR,0
Next Ramp,NB I5 TO/MARINE DR,DENVER/SCHMEER[RAMP TO NB I5,0
Next Ramp,DENVER/SCHMEER[RAMP TO NB I5,MARINE DR/I5[RAMP TO NB I5,0
Next Ramp,MARINE DR/I5[RAMP TO NB I5,NB I5 TO/JANTZEN BEACH,0
Next Ramp,NB I5 TO/JANTZEN BEACH,JANTZEN/HAYDEN ISLAND[RAMP TO NB I5,0
Next Ramp,SB I5 TO/JANTZEN BEACH,TOMAHAWK ISLAND/CENTER[RAMP TO SB I5,0
Next Ramp,TOMAHAWK ISLAND/CENTER[RAMP TO SB I5,SB I5 TO/MARINE DR,0
Next Ramp,SB I5 TO/MARINE DR,MARINE DR/I5[RAMP TO SB I5,0
Next Ramp,MARINE DR/I5[RAMP TO SB I5,SB I5 TO/DENVER,0
Next Ramp,SB I5 TO/DENVER,VICTORY/I5[RAMP TO SB I5,0
Next Ramp,VICTORY/I5[RAMP TO SB I5,COLUMBIA/I5[RAMP TO SB I5,0
Next Ramp,COLUMBIA/I5[RAMP TO SB I5,LOMBARD/I5[WB RAMP TO SB I5,0
Next Ramp,LOMBARD/I5[WB RAMP TO SB I5,LOMBARD/I5[EB RAMP TO SB I5,0
Next Ramp,LOMBARD/I5[EB RAMP TO SB I5,SB I5 TO/ROSA PARKS,0
Next Ramp,SB I5 TO/ROSA PARKS,ROSA PARKS/I5[RAMP TO SB I5,0
Next Ramp,ROSA PARKS/I5[RAMP TO SB I5,SB I5 TO/ALBERTA,0
Next Ramp,SB I5 TO/ALBERTA,ALBERTA/I5[RAMP TO SB I5,0
Next Ramp,ALBERTA/I5[RAMP TO SB I5,GOING/I5[RAMP TO SB I5,0
Next Ramp,GOING/I5[RAMP TO SB I5,SB I5 TO/SB FREMONT BRG,0
Next Ramp,SB I5 TO/SB FREMONT BRG,GREELEY/I5[RAMP TO SB I5,0
Next Ramp,GREELEY/I5[RAMP TO SB I5,NB FREMONT BRG TO/SB I5,0
Next Ramp,NB FREMONT BRG TO/SB I5,SB I5 TO/BROADWAY,0
Next Ramp,SB I5 TO/BROADWAY,WEIDLER/WHEELER[RAMP TO SB I5,0
Next Ramp,WEIDLER/WHEELER[RAMP TO SB I5,SB I5 TO/EB I84,0
Previous Ramp,SB I5 TO/MACADAM,SB I5 TO/NB I405,0
Previous Ramp,NB I5 TO/WEIDLER,WB I84 TO/NB I5,0
Previous Ramp,CAPITOL/HUBER[RAMP TO NB I5,BARBUR/64[RAMP TO NB I5,0
Previous Ramp,SB I5 TO/MORRISON BRG,SB I5 TO/EB I84,0
Previous Ramp,MULTNOMAH/22[RAMP TO NB I5,NB I5 TO/TERWILLIGER,0
Previous Ramp,CAPITOL/I5[RAMP TO SB I5,SB I5 TO/CAPITOL,0
Previous Ramp,HOOD/GAINES[RAMP TO SB I5,SB I405 TO/SB I5,0
Previous Ramp,RIVER/HARBOR[RAMP TO SB I5,SB I5 TO/MACADAM,0
Previous Ramp,WB I84 TO/SB I5,SB I5 TO/MORRISON BRG,0
Previous Ramp,WB I84 TO/NB I5,MORRISON BRG TO/NB I5,0
Previous Ramp,SB I405 TO/SB I5,RIVER/HARBOR[RAMP TO SB I5,0
Previous Ramp,SB I405 TO/NB I5,MACADAM/GAINES[RAMP TO NB I5,0
Previous Ramp,NB I5 TO/MACADAM,NB I5 TO/CORBETT,0
Previous Ramp,TERWILLIGER/I5[RAMP TO NB I5,MULTNOMAH/22[RAMP TO NB I5,0
Previous Ramp,SB I5 TO/MULTNOMAH,SB I5 TO/TERWILLIGER,0
Previous Ramp,MACADAM/GAINES[RAMP TO NB I5,NB I5 TO/NB I405,0
Previous Ramp,NB I5 TO/TERWILLIGER,SPRING GARDEN/I5[RAMP TO NB I5,0
Previous Ramp,NB I5 TO/CORBETT,TERWILLIGER/I5[RAMP TO NB I5,0
Previous Ramp,NB I5 TO/TAYLORS FERRY,CAPITOL/HUBER[RAMP TO NB I5,0
Previous Ramp,SB I5 TO/TERWILLIGER,HOOD/GAINES[RAMP TO SB I5,0
Previous Ramp,NB I5 TO/EB I84,SB I405 TO/NB I5,0
Previous Ramp,MORRISON BRG TO/NB I5,NB I5 TO/EB I84,0
Previous Ramp,NB I5 TO/NB I405,NB I5 TO/MACADAM,0
Previous Ramp,BARBUR/64[RAMP TO NB I5,NB I5 NO/BARBUR,0
Previous Ramp,BARBUR/64[RAMP TO SB I5,SB I5 TO/PACIFIC HWY,0
Previous Ramp,SPRING GARDEN/I5[RAMP TO NB I5,NB I5 TO/TAYLORS FERRY,0
Previous Ramp,SB I5 TO/BARBUR,SB I5 TO/MULTNOMAH,0
Previous Ramp,SB I5 TO/NB I405,WB I84 TO/SB I5,0
Previous Ramp,SB I5 TO/PACIFIC HWY,CAPITOL/I5[RAMP TO SB I5,0
Previous Ramp,SB I5 TO/CAPITOL,SB I5 TO/BARBUR,0
Previous Ramp,SB I5 TO/HAINES,BARBUR/64[RAMP TO SB I5,0
Previous Ramp,BROADWAY/I5[RAMP TO NB I5,NB I5 TO/WEIDLER,0
Previous Ramp,NB I5 TO/SB FREMONT BRG,BROADWAY/I5[RAMP TO NB I5,0
Previous Ramp,NB I5 TO/GREELEY,NB I5 TO/SB FREMONT BRG,0
Previous Ramp,NB FREMONT BRG TO/NB I5,NB I5 TO/GREELEY,0
Previous Ramp,NB I5 TO/GOING,EB FREMONT BRG TO/NB I5,0
Previous Ramp,GOING/I5[RAMP TO NB I5,NB I5 TO/GOING,0
Previous Ramp,ALBERTA/I5[RAMP TO NB I5,GOING/I5[RAMP TO NB I5,0
Previous Ramp,NB I5 TO/ROSA PARKS,ALBERTA/I5[RAMP TO NB I5,0
Previous Ramp,ROSA PARKS/I5[RAMP TO NB I5,NB I5 TO/ROSA PARKS,0
Previous Ramp,NB I5 TO/LOMBARD EB,ROSA PARKS/I5[RAMP TO NB I5,0
Previous Ramp,NB I5 TO/LOMBARD WB,NB I5 TO/LOMBARD EB,0
Previous Ramp,NB I5 TO/COMLUMBIA,NB I5 TO/LOMBARD WB,0
Previous Ramp,NB I5 TO/VICTORY,NB I5 TO/COMLUMBIA,0
Previous Ramp,NB I5 TO/ MARINE DR,NB I5 TO/VICTORY,0
Previous Ramp,DENVER/SCHMEER[RAMP TO NB I5,NB I5 TO/MARINE DR,0
Previous Ramp,MARINE DR/I5[RAMP TO NB I5,DENVER/SCHMEER[RAMP TO NB I5,0
Previous Ramp,NB I5 TO/JANTZEN BEACH,MARINE DR/I5[RAMP TO NB I5,0
Previous Ramp,JANTZEN/HAYDEN ISLAND[RAMP TO NB I5,NB I5 TO/JANTZEN BEACH,0
Previous Ramp,TOMAHAWK ISLAND/CENTER[RAMP TO SB I5,SB I5 TO/JANTZEN BEACH,0
Previous Ramp,SB I5 TO/MARINE DR,TOMAHAWK ISLAND/CENTER[RAMP TO SB I5,0
Previous Ramp,MARINE DR/I5[RAMP TO SB I5,SB I5 TO/MARINE DR,0
Previous Ramp,SB I5 TO/DENVER,MARINE DR/I5[RAMP TO SB I5,0
Previous Ramp,VICTORY/I5[RAMP TO SB I5,SB I5 TO/DENVER,0
Previous Ramp,COLUMBIA/I5[RAMP TO SB I5,VICTORY/I5[RAMP TO SB I5,0
Previous Ramp,LOMBARD/I5[WB RAMP TO SB I5,COLUMBIA/I5[RAMP TO SB I5,0
Previous Ramp,LOMBARD/I5[EB RAMP TO SB I5,LOMBARD/I5[WB RAMP TO SB I5,0
Previous Ramp,SB I5 TO/ROSA PARKS,LOMBARD/I5[EB RAMP TO SB I5,0
Previous Ramp,ROSA PARKS/I5[RAMP TO SB I5,SB I5 TO/ROSA PARKS,0
Previous Ramp,SB I5 TO/ALBERTA,ROSA PARKS/I5[RAMP TO SB I5,0
Previous Ramp,ALBERTA/I5[RAMP TO SB I5,SB I5 TO/ALBERTA,0
Previous Ramp,GOING/I5[RAMP TO SB I5,ALBERTA/I5[RAMP TO SB I5,0
Previous Ramp,SB I5 TO/SB FREMONT BRG,GOING/I5[RAMP TO SB I5,0
Previous Ramp,GREELEY/I5[RAMP TO SB I5,SB I5 TO/SB FREMONT BRG,0
Previous Ramp,NB FREMONT BRG TO/SB I5,GREELEY/I5[RAMP TO SB I5,0
Previous Ramp,SB I5 TO/BROADWAY,NB FREMONT BRG TO/SB I5,0
Previous Ramp,WEIDLER/WHEELER[RAMP TO SB I5,SB I5 TO/BROADWAY,0
Previous Ramp,SB I5 TO/EB I84,WEIDLER/WHEELER[RAMP TO SB I5,0
